Result Time,Granularity Period,Object Name,Reliability,"AMR TRAFFIC VOLUME","PS TRAFFIC VOLUME"
,Minutes,,,MB,MB
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=CONDADO_IND1, CellID=49441",Reliable,1.175,0.026
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=DIEGO_DE_VASQUEZ3, CellID=41123",Reliable,0.033,0.001
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=DIEGO_DE_VASQUEZ2, CellID=41122",Reliable,0,0
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=DIEGO_DE_VASQUEZ1, CellID=41121",Reliable,0,0.001
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LA_PRIMAVERA3, CellID=41453",Reliable,0.073,0.029
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LA_PRIMAVERA2, CellID=41452",Reliable,0.165,0.023
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LA_PRIMAVERA1, CellID=41451",Reliable,0.179,0.04
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=POLIT_LASSO2, CellID=41762",Reliable,0.919,0.004
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=POLIT_LASSO1, CellID=41761",Reliable,0.233,0.02
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=SAN_LORENZO(ES)3, CellID=46133",Reliable,0.151,0
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=SAN_LORENZO(ES)2, CellID=46132",Reliable,0,0.019
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=SAN_LORENZO(ES)1, CellID=46131",Reliable,0,0.014
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=PILLAGUA2, CellID=41702",Reliable,0,0
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=PILLAGUA1, CellID=41701",Reliable,0.145,0.002
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=QUITO_CENTRO3, CellID=40133",Reliable,4.088,0.025
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=QUITO_CENTRO2, CellID=40132",Reliable,4.947,0.027
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=QUITO_CENTRO1, CellID=40131",Reliable,0.892,0.015
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=ATUNTAQUI1, CellID=47241",Reliable,1.131,0.033
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LOS_CABILDOS2, CellID=41522",Reliable,0.193,0.008
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LOS_CABILDOS1, CellID=41521",Reliable,0.156,0
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=HOSP_VALLES3, CellID=41323",Reliable,0.983,0.034
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=HOSP_VALLES2, CellID=41322",Reliable,1.012,0.002
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=HOSP_VALLES1, CellID=41321",Reliable,0.715,0.003
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=ASAMBLEA_NACIONAL2, CellID=49422",Reliable,0.004,0
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=ASAMBLEA_NACIONAL1, CellID=49421",Reliable,0,0
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=MADRIGAL2, CellID=41552",Reliable,0.658,0.095
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=MADRIGAL1, CellID=41551",Reliable,0.535,0.014
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LA_COMUNA3, CellID=41383",Reliable,0.39,0.008
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LA_COMUNA2, CellID=41382",Reliable,0.545,0.003
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LA_COMUNA1, CellID=41381",Reliable,0.834,0.004
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=JAIME_ROLDOS3, CellID=41343",Reliable,1.68,0.003
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=JAIME_ROLDOS2, CellID=41342",Reliable,0.013,0.002
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=JAIME_ROLDOS1, CellID=41341",Reliable,1.101,0.01
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=TUNEL_PEAJE1, CellID=42051",Reliable,0,0.008
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=TUNEL_PARTIDERO1, CellID=42021",Reliable,0,0.003
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=MARIANITAS3, CellID=41583",Reliable,0.33,0.015
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=MARIANITAS2, CellID=41582",Reliable,0.504,0.004
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=MARIANITAS1, CellID=41581",Reliable,1.138,0.003
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=MUISNE3, CellID=46123",Reliable,0.119,0.044
